condominio,iptu,area,qtd_quartos,qtd_vagas,qtd_banheiros,aluguel
480,150,70,3,1,3,2500
700,120,73,3,2,2,2350
220,800,49,2,1,2,1000
320,342,48,3,1,2,1000
280,800,56,2,1,1,950
180,400,75,2,1,2,2800
732,800,78,2,2,3,2100
150,150,30,1,1,1,850
273,150,44,1,1,1,2500
187,800,42,2,1,1,900
350,800,110,3,2,3,700
120,320,40,2,1,1,850
750,800,94,3,2,2,2000
450,295,92,3,1,2,1300
180,800,48,2,1,1,850
430,150,76,3,1,2,700
817,192,120,3,1,3,1800
750,800,65,3,2,1,2300
651,800,53,2,1,3,950
820,1195,101,3,1,2,1300
473,150,55,2,2,2,1705
250,220,48,2,1,1,700
180,800,80,3,1,2,750
440,800,55,2,1,2,3200
564,150,52,2,1,2,3000
290,200,65,3,1,1,900
250,190,50,2,1,1,1350
330,150,57,2,1,2,890
770,800,108,2,2,1,2000
290,800,43,2,2,2,1000
280,800,55,2,1,2,1800
190,220,40,2,1,1,900
200,800,55,2,2,2,700
655,800,78,3,2,3,1600
190,800,58,2,1,2,850
600,100,84,3,2,3,2500
407,800,58,2,1,2,1300
400,800,90,3,2,3,2300
499,2280,70,3,2,2,2900
602,800,59,2,2,2,2500
180,800,60,3,1,2,1500
890,800,45,2,1,1,1609
300,94,73,2,1,2,2300
300,850,46,2,1,1,2500
650,1900,100,4,2,3,2250
765,800,98,2,2,2,900
760,150,60,2,1,2,1300
737,150,73,3,2,3,2205
1150,177,158,3,3,3,3000
234,150,36,1,1,1,900
130,800,65,3,1,2,755
360,800,72,3,1,2,1309
803,800,77,2,1,3,2500
123,800,85,3,2,3,900
355,150,61,2,1,2,1500
900,800,119,3,2,3,4200
180,800,60,3,2,1,1100
550,800,65,3,1,2,900
180,800,72,3,1,1,1400
740,134,74,2,2,2,3300
110,800,55,1,1,2,1000
415,150,55,2,1,2,2250
230,800,58,2,1,2,2300
180,205,39,1,1,1,900
180,800,47,2,1,2,1500
180,800,70,1,1,2,580
300,800,43,2,2,2,890
250,800,55,2,1,1,1100
801,150,70,2,2,3,2400
491,800,50,2,1,1,1800
1150,176,150,3,2,3,2500
586,800,60,2,2,2,2000
353,800,65,2,1,2,2209
282,190,45,2,1,1,1100
400,800,86,2,1,2,850
500,800,100,3,1,2,1700
210,800,63,2,2,1,1200
848,165,65,2,1,2,2750
545,150,56,2,1,2,2000
422,800,75,2,2,2,1900
200,800,65,3,1,2,1005
509,800,70,2,1,2,850
188,150,72,2,1,1,1300
1000,100,65,2,1,2,3000
389,800,71,3,1,2,1400
100,100,65,2,2,2,980
491,230,48,2,1,1,850
320,150,62,3,2,2,1700
400,150,65,3,1,3,1600
